"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3043","Вбить валидное имя в поле name","","Thu Dec 05 00:05:06 MSK 2024","passed","Thu Dec 05 00:05:09 MSK 2024","","Profile form: Positive cases","",""
"","1378","invalid login","","Thu Dec 05 00:28:27 MSK 2024","passed","Thu Dec 05 00:28:28 MSK 2024","","Login form","",""
"","2199","Ошибка, если вбить невалидное колиство сиволов в поле bio","","Thu Dec 05 00:05:18 MSK 2024","passed","Thu Dec 05 00:05:20 MSK 2024","","Profile form: Negative cases","",""
"","3149","Create issue with label and remove label","","Thu Dec 05 00:40:53 MSK 2024","passed","Thu Dec 05 00:40:56 MSK 2024","","Issue API test: Positive cases","",""
"","1078","invalid password","","Thu Dec 05 00:28:28 MSK 2024","passed","Thu Dec 05 00:28:29 MSK 2024","","Login form","",""
"","11181","Скриншотные тесты для вставки картинки в задачу: pion","","Wed Dec 04 23:59:46 MSK 2024","passed","Wed Dec 04 23:59:57 MSK 2024","","picture test: upload picture","",""
"","1849","Ошибка, если вбить невалидное количество символов","","Thu Dec 05 00:05:16 MSK 2024","passed","Thu Dec 05 00:05:18 MSK 2024","","Profile form: Negative cases","",""
"","4485","Загрузка аватарки","","Thu Dec 05 00:05:09 MSK 2024","passed","Thu Dec 05 00:05:13 MSK 2024","","Profile form: Positive cases","",""
"","4556","login with valid data","","Thu Dec 05 00:28:22 MSK 2024","passed","Thu Dec 05 00:28:27 MSK 2024","","Login form","",""
"","11502","Скриншотные тесты для вставки картинки в задачу: bird","","Wed Dec 04 23:59:57 MSK 2024","passed","Thu Dec 05 00:00:09 MSK 2024","","picture test: upload picture","",""
"","2697","Вбить в поле bio валидное количество символов, не больше 255","","Thu Dec 05 00:05:13 MSK 2024","passed","Thu Dec 05 00:05:16 MSK 2024","","Profile form: Positive cases","",""
"","1902","Ошибка, если вбить в поле name только пробелы","","Thu Dec 05 00:05:20 MSK 2024","passed","Thu Dec 05 00:05:22 MSK 2024","","Profile form: Negative cases","",""
"","28028","Create issue and add label","","Thu Dec 05 00:40:25 MSK 2024","broken","Thu Dec 05 00:40:53 MSK 2024","","Issue API test: Positive cases","",""
"","970","invalid login and password","","Thu Dec 05 00:28:29 MSK 2024","passed","Thu Dec 05 00:28:30 MSK 2024","","Login form","",""
"","11443","Скриншотные тесты для вставки картинки в задачу: romashka","","Thu Dec 05 00:00:09 MSK 2024","passed","Thu Dec 05 00:00:20 MSK 2024","","picture test: upload picture","",""
